Role,Years_of_Experience,Involvement_in_ProjectPhase,Frequency_of_Involvement,Communication_Effectiveness,Frequency_of_CollaborativeActivities,CommonCollaboration Patterns,WorkAtmosphere,RequirementClarity,RequirementClarificationEffectiveness,Challenges_in_DefiningRequirements,SkillGapIdentification Frequency,CompetencyImprovementEffectiveness,Challenges_in_CompetencyAlignment,Commitment_ Users,Commitment_Developers,Commitment_Managers,Commitment_Architects,Commitment_Technical Staff,Deadline FulfillmentFrequency,ChangeAdaptationEffectiveness,ChangeHandlingEfficiency,ProjectGoalsCommunicationClarity,Challenges_to_SharedVision,Ministry
Technical Staff,1-3 years,Requirement Gathering,Weekly,Neutral,Weekly,Clear documentation and resource sharing,Agree,Always,Very Ineffective,"Lack of involvement from users, Unclear requirements from stakeholders, Resistance to change",Often,Agree,"Time constraints, Lack of training",1,5,5,5,5,Often,Very Well,Strongly Agree,Very Clearly,"Misaligned goals, Inconsistent leadership",Ministry of Information Technology
Technical Staff,Less than 1 year,Design,Rarely,Effective,Monthly,Cross-functional team meetings,Disagree,Always,Effective,"Unclear requirements from stakeholders, Misaligned goals, Lack of involvement from users, Technical terms used leading to confusion",Always,Strongly Agree,Limited resources,3,5,3,5,3,Rarely,Well,Agree,Neutral,"Inconsistent leadership, Poor communication tools, Misaligned goals, Lack of documentation",Ministry of Education
Technical Staff,Less than 1 year,Requirement Gathering,Daily,Neutral,Weekly,"Clear documentation and resource sharing, Cross-functional team meetings, Informal discussions, Regular feedback sessions",Strongly Agree,Often,Very Effective,"Misaligned goals, Unclear requirements from stakeholders, Technical terms used leading to confusion",Often,Strongly Agree,"Resistance to change, Limited resources",5,5,3,3,2,Always,Very Well,Agree,Clearly,"Misaligned goals, Lack of documentation",Ministry of Agriculture
User,1-3 years,Testing,Daily,Ineffective,Daily,"Regular feedback sessions, Informal discussions",Agree,Always,Ineffective,"Misaligned goals, Technical terms used leading to confusion, Lack of involvement from users",Never,Agree,"Lack of training, Resistance to change, Limited resources, Time constraints",4,5,5,1,5,Rarely,Very Poorly,Strongly Agree,Very Unclear,"Misaligned goals, Inconsistent leadership, Lack of documentation",Ministry of Education
Developer,Less than 1 year,Requirement Gathering,Rarely,Very Effective,Weekly,"Regular feedback sessions, Cross-functional team meetings",Strongly Agree,Always,Very Ineffective,"Unclear requirements from stakeholders, Resistance to change",Sometimes,Strongly Agree,"Limited resources, Lack of training, Time constraints",3,5,3,4,4,Never,Very Well,Strongly Agree,Unclear,"Lack of documentation, Inconsistent leadership",Ministry of Information Technology
Developer,Less than 1 year,Maintenance,Monthly,Ineffective,Rarely,"Informal discussions, Cross-functional team meetings, Regular feedback sessions, Clear documentation and resource sharing",Disagree,Always,Effective,"Technical terms used leading to confusion, Resistance to change",Sometimes,Disagree,"Resistance to change, Lack of training, Time constraints",4,5,2,4,4,Rarely,Very Well,Agree,Very Unclear,"Misaligned goals, Inconsistent leadership, Poor communication tools",Ministry of Education
Developer,Less than 1 year,Maintenance,Monthly,Very Ineffective,Monthly,"Informal discussions, Cross-functional team meetings, Regular feedback sessions, Clear documentation and resource sharing",Strongly Disagree,Often,Effective,"Technical terms used leading to confusion, Lack of involvement from users, Misaligned goals, Resistance to change",Always,Agree,"Lack of training, Time constraints, Limited resources, Resistance to change",3,5,5,2,2,Always,Neutral,Strongly Agree,Neutral,"Inconsistent leadership, Misaligned goals",Ministry of Education
Architect,1-3 years,Development,Rarely,Ineffective,Weekly,"Cross-functional team meetings, Informal discussions, Clear documentation and resource sharing",Strongly Agree,Often,Very Ineffective,"Misaligned goals, Resistance to change",Always,Strongly Agree,"Time constraints, Limited resources",3,2,4,5,1,Never,Very Poorly,Strongly Disagree,Very Unclear,"Misaligned goals, Inconsistent leadership, Poor communication tools, Lack of documentation",Ministry of Agriculture
Architect,3-5 years,Design,Rarely,Very Effective,Daily,"Clear documentation and resource sharing, Cross-functional team meetings, Regular feedback sessions, Informal discussions",Strongly Agree,Always,Very Ineffective,"Lack of involvement from users, Resistance to change",Often,Agree,"Limited resources, Lack of training",1,3,5,3,2,Often,Neutral,Disagree,Very Unclear,Lack of documentation,Ministry of Education
Developer,3-5 years,Requirement Gathering,Rarely,Effective,Weekly,"Clear documentation and resource sharing, Regular feedback sessions",Disagree,Rarely,Effective,"Technical terms used leading to confusion, Lack of involvement from users, Unclear requirements from stakeholders",Often,Strongly Agree,"Time constraints, Resistance to change, Lack of training",5,3,2,4,1,Often,Very Well,Neutral,Clearly,"Lack of documentation, Poor communication tools, Misaligned goals",Ministry of Education
Architect,Less than 1 year,Testing,Rarely,Effective,Monthly,"Cross-functional team meetings, Informal discussions, Clear documentation and resource sharing",Strongly Agree,Always,Ineffective,Unclear requirements from stakeholders,Rarely,Strongly Agree,Time constraints,1,5,4,4,3,Always,Neutral,Disagree,Clearly,"Inconsistent leadership, Poor communication tools, Misaligned goals",Ministry of Agriculture
User,More than 5 years,Requirement Gathering,Weekly,Neutral,Weekly,"Cross-functional team meetings, Clear documentation and resource sharing, Informal discussions",Strongly Disagree,Always,Very Ineffective,"Misaligned goals, Unclear requirements from stakeholders, Lack of involvement from users, Technical terms used leading to confusion",Rarely,Disagree,"Limited resources, Resistance to change, Time constraints, Lack of training",1,2,3,2,5,Sometimes,Very Well,Neutral,Very Unclear,"Misaligned goals, Poor communication tools, Inconsistent leadership, Lack of documentation",Ministry of Agriculture
Technical Staff,More than 5 years,Testing,Rarely,Effective,Weekly,Cross-functional team meetings,Neutral,Often,Effective,"Unclear requirements from stakeholders, Lack of involvement from users, Misaligned goals",Rarely,Strongly Agree,"Limited resources, Time constraints, Lack of training, Resistance to change",4,2,1,3,2,Never,Well,Strongly Agree,Very Clearly,"Inconsistent leadership, Lack of documentation, Poor communication tools",Ministry of Information Technology
User,1-3 years,Requirement Gathering,Weekly,Neutral,Weekly,"Cross-functional team meetings, Regular feedback sessions, Clear documentation and resource sharing, Informal discussions",Strongly Agree,Often,Ineffective,"Lack of involvement from users, Misaligned goals, Technical terms used leading to confusion",Often,Strongly Agree,"Time constraints, Resistance to change, Limited resources, Lack of training",1,2,4,5,3,Often,Very Poorly,Neutral,Neutral,"Poor communication tools, Inconsistent leadership, Misaligned goals, Lack of documentation",Ministry of Education
Developer,More than 5 years,Testing,Rarely,Very Effective,Weekly,"Cross-functional team meetings, Regular feedback sessions, Clear documentation and resource sharing, Informal discussions",Strongly Agree,Always,Neutral,"Technical terms used leading to confusion, Unclear requirements from stakeholders",Never,Agree,"Time constraints, Limited resources, Resistance to change, Lack of training",5,5,5,4,5,Sometimes,Very Well,Disagree,Clearly,"Misaligned goals, Lack of documentation, Poor communication tools",Ministry of Information Technology
Developer,3-5 years,Maintenance,Daily,Neutral,Rarely,"Informal discussions, Regular feedback sessions, Cross-functional team meetings",Agree,Sometimes,Very Effective,"Misaligned goals, Lack of involvement from users, Resistance to change",Rarely,Neutral,"Time constraints, Lack of training, Limited resources",5,3,5,5,5,Never,Very Poorly,Disagree,Very Clearly,"Lack of documentation, Misaligned goals, Inconsistent leadership",Ministry of Agriculture
Developer,More than 5 years,Design,Rarely,Ineffective,Weekly,"Cross-functional team meetings, Informal discussions, Regular feedback sessions",Strongly Disagree,Never,Effective,"Misaligned goals, Lack of involvement from users, Resistance to change",Sometimes,Strongly Agree,"Limited resources, Resistance to change, Time constraints, Lack of training",2,3,4,2,5,Often,Neutral,Strongly Agree,Clearly,"Poor communication tools, Misaligned goals, Lack of documentation, Inconsistent leadership",Ministry of Information Technology
Architect,More than 5 years,Development,Daily,Neutral,Daily,"Regular feedback sessions, Clear documentation and resource sharing, Cross-functional team meetings",Disagree,Always,Very Effective,"Technical terms used leading to confusion, Unclear requirements from stakeholders",Never,Disagree,Limited resources,3,5,4,3,4,Rarely,Very Poorly,Strongly Agree,Very Unclear,"Inconsistent leadership, Misaligned goals",Ministry of Agriculture
Developer,3-5 years,Design,Daily,Ineffective,Monthly,"Clear documentation and resource sharing, Informal discussions, Regular feedback sessions, Cross-functional team meetings",Strongly Disagree,Always,Effective,Unclear requirements from stakeholders,Often,Strongly Agree,Resistance to change,4,3,3,4,3,Never,Neutral,Strongly Agree,Unclear,"Poor communication tools, Misaligned goals, Lack of documentation, Inconsistent leadership",Ministry of Agriculture
Architect,1-3 years,Testing,Weekly,Effective,Monthly,"Regular feedback sessions, Informal discussions, Cross-functional team meetings",Agree,Often,Effective,"Technical terms used leading to confusion, Unclear requirements from stakeholders",Always,Neutral,"Limited resources, Resistance to change, Lack of training, Time constraints",4,3,5,5,3,Rarely,Poorly,Disagree,Very Clearly,"Poor communication tools, Lack of documentation, Misaligned goals, Inconsistent leadership",Ministry of Information Technology
Developer,1-3 years,Development,Weekly,Neutral,Weekly,Clear documentation and resource sharing,Disagree,Always,Ineffective,"Misaligned goals, Lack of involvement from users, Unclear requirements from stakeholders",Rarely,Agree,"Time constraints, Resistance to change, Lack of training, Limited resources",3,3,5,2,2,Always,Very Poorly,Strongly Agree,Very Unclear,"Lack of documentation, Inconsistent leadership, Misaligned goals, Poor communication tools",Ministry of Information Technology
Developer,Less than 1 year,Development,Monthly,Very Effective,Monthly,Regular feedback sessions,Agree,Rarely,Effective,"Lack of involvement from users, Misaligned goals, Unclear requirements from stakeholders, Technical terms used leading to confusion",Sometimes,Neutral,Resistance to change,3,5,5,2,2,Sometimes,Neutral,Agree,Very Clearly,"Poor communication tools, Lack of documentation, Inconsistent leadership, Misaligned goals",Ministry of Information Technology
Manager,1-3 years,Maintenance,Rarely,Very Effective,Rarely,"Cross-functional team meetings, Regular feedback sessions",Disagree,Sometimes,Very Ineffective,"Misaligned goals, Unclear requirements from stakeholders",Sometimes,Strongly Agree,"Resistance to change, Lack of training, Time constraints, Limited resources",1,4,4,5,1,Never,Very Well,Agree,Very Clearly,Misaligned goals,Ministry of Agriculture
User,1-3 years,Testing,Rarely,Ineffective,Daily,Informal discussions,Strongly Agree,Always,Very Effective,"Misaligned goals, Technical terms used leading to confusion, Lack of involvement from users, Unclear requirements from stakeholders",Rarely,Disagree,"Resistance to change, Limited resources",2,4,5,5,2,Often,Well,Neutral,Neutral,"Lack of documentation, Misaligned goals, Poor communication tools",Ministry of Agriculture
Developer,3-5 years,Design,Rarely,Ineffective,Rarely,"Cross-functional team meetings, Regular feedback sessions, Informal discussions",Strongly Agree,Always,Very Ineffective,"Unclear requirements from stakeholders, Technical terms used leading to confusion, Misaligned goals, Resistance to change",Never,Strongly Agree,"Limited resources, Lack of training",3,5,2,1,1,Rarely,Very Poorly,Agree,Clearly,"Inconsistent leadership, Poor communication tools",Ministry of Agriculture
Manager,Less than 1 year,Requirement Gathering,Monthly,Neutral,Weekly,"Regular feedback sessions, Cross-functional team meetings",Disagree,Always,Ineffective,"Misaligned goals, Resistance to change",Always,Neutral,"Lack of training, Limited resources",2,4,1,5,3,Rarely,Well,Strongly Agree,Neutral,"Inconsistent leadership, Misaligned goals, Lack of documentation, Poor communication tools",Ministry of Information Technology
Developer,Less than 1 year,Requirement Gathering,Monthly,Neutral,Monthly,"Informal discussions, Clear documentation and resource sharing",Neutral,Sometimes,Ineffective,"Technical terms used leading to confusion, Unclear requirements from stakeholders",Often,Strongly Agree,"Resistance to change, Limited resources, Lack of training, Time constraints",3,4,4,2,5,Rarely,Neutral,Neutral,Very Clearly,"Inconsistent leadership, Poor communication tools",Ministry of Agriculture
Manager,More than 5 years,Maintenance,Daily,Effective,Monthly,"Informal discussions, Clear documentation and resource sharing, Regular feedback sessions",Strongly Agree,Always,Very Ineffective,"Technical terms used leading to confusion, Misaligned goals, Unclear requirements from stakeholders, Lack of involvement from users",Always,Strongly Agree,"Limited resources, Lack of training, Resistance to change, Time constraints",3,3,5,1,1,Always,Poorly,Strongly Agree,Neutral,Inconsistent leadership,Ministry of Information Technology
Technical Staff,More than 5 years,Requirement Gathering,Rarely,Very Effective,Weekly,"Regular feedback sessions, Informal discussions, Clear documentation and resource sharing, Cross-functional team meetings",Neutral,Always,Ineffective,"Unclear requirements from stakeholders, Technical terms used leading to confusion",Never,Strongly Agree,Limited resources,5,5,5,4,5,Rarely,Poorly,Strongly Agree,Very Unclear,"Misaligned goals, Inconsistent leadership, Lack of documentation",Ministry of Information Technology
Developer,Less than 1 year,Design,Rarely,Neutral,Monthly,"Informal discussions, Regular feedback sessions, Clear documentation and resource sharing",Disagree,Always,Very Effective,"Technical terms used leading to confusion, Misaligned goals, Unclear requirements from stakeholders, Lack of involvement from users",Never,Agree,"Limited resources, Time constraints",5,5,4,2,4,Never,Poorly,Strongly Agree,Neutral,"Poor communication tools, Lack of documentation, Misaligned goals",Ministry of Information Technology
Manager,Less than 1 year,Requirement Gathering,Rarely,Ineffective,Daily,Regular feedback sessions,Agree,Often,Effective,"Misaligned goals, Technical terms used leading to confusion, Unclear requirements from stakeholders, Lack of involvement from users",Never,Disagree,"Limited resources, Resistance to change, Lack of training, Time constraints",5,5,1,3,3,Never,Very Poorly,Agree,Unclear,"Misaligned goals, Inconsistent leadership, Poor communication tools",Ministry of Education
Manager,More than 5 years,Design,Daily,Very Effective,Weekly,"Informal discussions, Cross-functional team meetings, Regular feedback sessions",Agree,Sometimes,Very Effective,"Unclear requirements from stakeholders, Technical terms used leading to confusion, Misaligned goals",Rarely,Neutral,"Time constraints, Resistance to change",5,1,3,5,5,Always,Well,Disagree,Clearly,"Poor communication tools, Lack of documentation",Ministry of Education
Manager,1-3 years,Development,Rarely,Neutral,Monthly,Cross-functional team meetings,Strongly Disagree,Always,Very Effective,"Misaligned goals, Technical terms used leading to confusion, Lack of involvement from users",Rarely,Neutral,Limited resources,5,5,5,4,5,Never,Very Well,Strongly Agree,Neutral,"Misaligned goals, Poor communication tools",Ministry of Information Technology
Developer,Less than 1 year,Testing,Weekly,Neutral,Monthly,"Clear documentation and resource sharing, Cross-functional team meetings, Regular feedback sessions, Informal discussions",Disagree,Always,Very Ineffective,"Lack of involvement from users, Unclear requirements from stakeholders, Misaligned goals",Always,Strongly Agree,"Limited resources, Resistance to change, Lack of training",3,5,5,3,3,Always,Very Poorly,Agree,Very Clearly,"Lack of documentation, Poor communication tools",Ministry of Education
Manager,3-5 years,Design,Monthly,Effective,Monthly,"Cross-functional team meetings, Regular feedback sessions",Strongly Disagree,Always,Very Ineffective,"Lack of involvement from users, Unclear requirements from stakeholders, Misaligned goals",Rarely,Agree,"Resistance to change, Lack of training",2,3,5,3,4,Often,Well,Strongly Agree,Unclear,"Inconsistent leadership, Misaligned goals, Poor communication tools",Ministry of Education
Technical Staff,Less than 1 year,Development,Rarely,Neutral,Weekly,"Cross-functional team meetings, Informal discussions, Clear documentation and resource sharing",Neutral,Always,Effective,"Technical terms used leading to confusion, Misaligned goals, Lack of involvement from users, Unclear requirements from stakeholders",Sometimes,Strongly Agree,"Time constraints, Resistance to change, Limited resources",5,5,2,5,1,Rarely,Well,Disagree,Clearly,"Inconsistent leadership, Misaligned goals, Poor communication tools",Ministry of Agriculture
Architect,Less than 1 year,Requirement Gathering,Rarely,Effective,Weekly,"Regular feedback sessions, Cross-functional team meetings, Informal discussions, Clear documentation and resource sharing",Agree,Always,Very Effective,Misaligned goals,Often,Strongly Agree,Resistance to change,2,4,3,2,4,Never,Poorly,Strongly Disagree,Neutral,Poor communication tools,Ministry of Education
Developer,Less than 1 year,Development,Daily,Very Effective,Monthly,"Regular feedback sessions, Clear documentation and resource sharing, Cross-functional team meetings, Informal discussions",Agree,Always,Effective,Unclear requirements from stakeholders,Sometimes,Neutral,Resistance to change,5,5,5,5,5,Often,Very Well,Disagree,Very Unclear,"Inconsistent leadership, Lack of documentation",Ministry of Agriculture
Developer,1-3 years,Testing,Rarely,Effective,Monthly,"Clear documentation and resource sharing, Informal discussions, Regular feedback sessions",Strongly Agree,Always,Effective,Lack of involvement from users,Sometimes,Disagree,"Lack of training, Limited resources, Resistance to change",2,3,5,3,1,Never,Very Well,Strongly Agree,Neutral,"Poor communication tools, Inconsistent leadership",Ministry of Agriculture
Developer,More than 5 years,Maintenance,Monthly,Effective,Rarely,"Clear documentation and resource sharing, Cross-functional team meetings, Informal discussions",Strongly Agree,Always,Ineffective,"Misaligned goals, Lack of involvement from users, Resistance to change",Rarely,Strongly Agree,"Resistance to change, Lack of training, Time constraints, Limited resources",4,3,5,4,2,Sometimes,Very Poorly,Strongly Agree,Neutral,"Misaligned goals, Inconsistent leadership, Lack of documentation",Ministry of Education
Architect,3-5 years,Requirement Gathering,Daily,Very Effective,Daily,"Regular feedback sessions, Clear documentation and resource sharing",Agree,Always,Ineffective,Unclear requirements from stakeholders,Rarely,Strongly Agree,"Time constraints, Limited resources",5,3,4,2,3,Rarely,Very Well,Agree,Unclear,"Misaligned goals, Lack of documentation",Ministry of Education
User,1-3 years,Testing,Rarely,Very Effective,Rarely,Clear documentation and resource sharing,Strongly Disagree,Always,Very Effective,"Technical terms used leading to confusion, Lack of involvement from users, Misaligned goals, Unclear requirements from stakeholders",Sometimes,Strongly Agree,"Time constraints, Limited resources",2,2,3,5,2,Sometimes,Poorly,Neutral,Very Unclear,"Poor communication tools, Misaligned goals, Lack of documentation",Ministry of Information Technology
User,Less than 1 year,Maintenance,Daily,Very Effective,Monthly,"Cross-functional team meetings, Regular feedback sessions, Informal discussions",Strongly Disagree,Always,Neutral,"Technical terms used leading to confusion, Unclear requirements from stakeholders, Lack of involvement from users, Resistance to change",Sometimes,Strongly Agree,"Limited resources, Time constraints, Resistance to change, Lack of training",4,4,2,5,5,Rarely,Very Well,Strongly Agree,Neutral,Poor communication tools,Ministry of Agriculture
Technical Staff,More than 5 years,Maintenance,Rarely,Very Ineffective,Weekly,"Informal discussions, Clear documentation and resource sharing",Neutral,Always,Very Effective,"Unclear requirements from stakeholders, Technical terms used leading to confusion, Lack of involvement from users, Resistance to change",Often,Strongly Agree,"Time constraints, Lack of training, Resistance to change, Limited resources",2,5,5,5,4,Never,Very Well,Strongly Disagree,Very Clearly,"Misaligned goals, Poor communication tools",Ministry of Information Technology
User,3-5 years,Maintenance,Weekly,Effective,Daily,Clear documentation and resource sharing,Disagree,Always,Neutral,"Technical terms used leading to confusion, Lack of involvement from users, Resistance to change",Often,Strongly Agree,Limited resources,2,5,5,5,2,Never,Very Poorly,Disagree,Very Unclear,"Lack of documentation, Misaligned goals, Poor communication tools",Ministry of Information Technology
